"","Astronomy and Astrophysics","Monthly Notices of the Royal Astronomical Society","Astrophysical Journal Letters","Astrophysical Journal","Astrophysical Journal, Supplement Series","Acta Astronomica","Physical Review D","Physical Review Letters","Astronomical Journal","Monthly Notices of the Royal Astronomical Society: Letters","Nature","European Physical Journal C","Science","Icarus","Classical and Quantum Gravity","Physical Review X","Reports on Progress in Physics","Space Science Reviews","Nature Communications","Journal of High Energy Physics","Physical Review C","Aerospace","Remote Sensing","Scientific Reports","JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS","Publications of the Astronomical Society of the Pacific","Nonlinear Dynamics","Acta Physica Polonica B, Proceedings Supplement","IEEE Transactions on Geoscience and Remote Sensing","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing"
"Centrum Astronomiczne",81,30,28,18,8,0,16,12,1,1,1,8,4,0,2,2,4,0,0,2,2,0,0,0,0,0,0,0,0,0
"Centrum Badań Kosmicznych PAN",10,6,2,10,12,1,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,2,2,1,0,0,0,1,1,0
"U. Jagielloński w Krakowie",29,11,8,11,9,0,2,3,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
"U. Mikołaja Kopernika w Toruniu",24,4,9,3,6,6,2,0,1,3,3,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"U. Warszawski",15,5,21,3,11,10,0,5,6,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Wrocławski",26,15,6,12,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Zielonogórski w Zielonej Górze",8,10,4,12,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"U. w Poznaniu",31,5,2,5,2,4,0,0,1,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
