"","Res Historica","Historia Slavorum Occidentis","Kwartalnik Historyczny","Klio. Czasopismo poświęcone dziejom Polski i powszechnym","Dzieje Najnowsze","Saeculum Christianum","Archiwa Biblioteki i Muzea Kościelne","Przegląd Historyczny","Przegląd Historyczno-Wojskowy","Zeszyty Naukowe Uniwersytetu Jagiellońskiego, Prace Historyczne","Pamięć i Sprawiedliwość","Roczniki Humanistyczne","Studia z Dziejów Rosji i Europy Środkowo-Wschodniej","Kwartalnik Historii Nauki i Techniki","UR JOURNAL OF HUMANITIES AND SOCIAL SCIENCES","Kwartalnik Historii Kultury Materialnej","Wschodni Rocznik Humanistyczny","Perspektywy Kultury","Roczniki Dziejów Społecznych i Gospodarczych","Kwartalnik historii nauki i techniki - Kwartal'nyi zhurnal istorii nauki i tekhniki -","Studia Historica Gedanensia","Quaestiones Medii Aevi Novae","Acta Poloniae Historica","Przegląd Nauk Historycznych","Galicja. Studia i materiały","Studia Źródłoznawcze","Tabularium Historiae","Zapiski Historyczne. Poświęcone Historii Pomorza i Krajów Bałtyckich","Rocznik Filozoficzny Ignatianum","Biografistyka Pedagogiczna"
"Akademia Sztuki Wojennej",6,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inst. Archeologii i Etnologii PAN",3,1,5,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Inst. Historii",5,4,25,2,16,0,3,4,3,1,4,4,13,0,0,3,3,0,7,6,3,0,9,0,0,8,0,7,1,0
"Inst. Historii Nauki imienia Ludwika i Aleksa...",0,0,0,2,2,0,2,1,0,0,1,0,1,38,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"Inst. Studiów Politycznych PAN",1,0,4,0,4,0,0,4,4,0,1,0,1,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1
"Katolicki Uniwersytet Lubelski Jana Pawła II",6,0,0,1,2,1,18,1,3,0,2,17,1,0,1,1,0,2,0,3,2,1,1,2,0,1,0,0,0,6
"U. Gdański",0,0,2,5,4,2,1,0,1,0,2,0,1,0,0,2,0,0,1,1,21,4,1,0,1,1,0,1,0,0
"U. Jagielloński w Krakowie",7,10,4,6,7,2,0,4,10,42,2,3,8,0,1,1,5,10,2,0,0,2,2,1,5,4,1,0,2,0
"U. Jana Długosza w Częstochowie",2,0,1,1,1,1,1,0,2,1,0,0,1,0,2,1,1,0,0,4,0,0,2,1,0,0,0,0,0,0
"U. Jana Kochanowskiego w Kielcach",7,0,2,2,1,5,3,0,0,1,0,3,2,0,6,1,0,1,0,1,1,0,1,0,0,0,0,0,2,2
