"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Akademia WSB","Akademia WSB",27,12,44.4,11,"stosunki międzynarodowe",9.5,380,2.84
"Uniwersytet Warszawski","U. Warszawski",85,2,2.4,39,"stosunki międzynarodowe",39.19,342.94,2.17
"Uniwersytet Jagielloński w Krakowie","U. Jagielloński w Krakowie",49,1,2,17,"stosunki międzynarodowe",20.88,391.24,2.35
"Uniwersytet Marii Curie-Skłodowskiej w Lublinie","U. Marii Curie-Skłodowskiej w Lublinie",55,1,1.8,23,"stosunki międzynarodowe",23.23,350.02,2.37
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",8,0,0,8,"stosunki międzynarodowe",4.56,535.09,1.75
"Uniwersytet Wrocławski","U. Wrocławski",34,0,0,22,"stosunki międzynarodowe",15.94,301.94,2.13
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",7,0,0,6,"stosunki międzynarodowe",3,373.33,2.33
"Uniwersytet w Białymstoku","U. w Białymstoku",39,0,0,23,"stosunki międzynarodowe",15.5,336.13,2.52
