"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Akademia WSB","Akademia WSB",21,5,23.8,16,"inżynieria bezpieczeństwa",8,383.88,2.62
"Akademia Pożarnicza","Akademia Pożarnicza",36,8,22.2,20,"inżynieria bezpieczeństwa",12.69,375.49,2.84
"Akademia Wojsk Lądowych imienia generała Tadeusza Kościuszki","Akademia Wojsk Lądowych imienia generała Tade...",34,7,20.6,18,"inżynieria bezpieczeństwa",9.5,216.32,3.58
