"","Zeszyty Naukowe Politechniki Śląskiej. Seria Organizacja i Zarządzanie","Energies","European Research Studies Journal","Sustainability","Zeszyty Naukowe. Organizacja i Zarządzanie/Politechnika Śląska","Journal of Modern Science","Zeszyty Naukowe Akademii Górnośląskiej","Economics and Environment","PRZEGLĄD ORGANIZACJI","International Journal of Environmental Research and Public Health","Studia i Prace Kolegium Zarządzania i Finansów","Journal of Management and Business Administration Central Europe","Humanities and Social Sciences","PLoS ONE","Miesięcznik Marketing i Rynek","Cracow Review of Economics and Management","Zeszyty Teoretyczne Rachunkowości","Entrepreneurial Business and Economics Review","Organizacja i Kierowanie","Human Technology","Polish Journal of Management Studies","International Journal for Quality Research","Annales Universitatis Mariae Curie-Skłodowska, Sec. H Oeconomia","Journal of Cleaner Production","PRACE NAUKOWE UNIWERSYTETU EKONOMICZNEGO WE WROCŁAWIU","Engineering Management in Production and Services","E-Mentor","Economics and Sociology","International Journal of Management and Economics","Applied Sciences"
"U. Ekonomiczny we Wrocławiu",54,31,12,23,0,1,7,8,7,2,6,6,5,3,5,6,6,0,6,0,2,3,1,2,16,0,1,3,3,2
"U. Gdański",70,4,4,7,0,14,3,1,1,1,5,3,0,2,1,2,6,1,0,0,0,1,12,0,0,0,3,1,1,1
"U. Jagielloński w Krakowie",12,3,3,4,0,1,0,2,3,1,1,0,0,0,1,0,0,5,2,0,1,0,0,0,3,1,1,4,0,1
"U. Jana Kochanowskiego w Kielcach",5,5,9,1,13,5,11,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0
"U. Kaliski",0,2,25,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0
"U. Komisji Edukacji Narodowej w Krakowie",2,2,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Marii Curie-Skłodowskiej w Lublinie",16,6,0,9,6,1,0,1,2,1,0,1,0,1,1,2,0,0,1,0,0,0,9,1,0,0,1,0,0,2
"U. Mikołaja Kopernika w Toruniu",12,7,4,2,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,4,0,0
"U. Morski w Gdyni",5,9,33,18,0,0,1,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"U. Pomorski w Słupsku",0,9,12,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. Radomski",3,0,14,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"U. Rolniczy w Krakowie",4,9,4,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"U. Szczeciński",6,63,78,13,0,2,3,2,9,2,0,1,4,0,3,0,0,0,0,8,0,0,0,2,0,0,0,0,0,0
"U. Warmińsko-Mazurski w Olsztynie",9,6,1,9,7,3,4,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"U. Warszawski",3,9,8,4,2,2,3,0,2,1,0,0,2,1,4,0,0,1,1,0,1,0,0,3,0,1,0,0,0,0
"U. Zielonogórski w Zielonej Górze",9,4,7,5,0,1,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1
"U. w Białymstoku",0,2,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"U. w Siedlcach",3,4,2,7,1,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"U. Łódzki",41,15,71,6,0,2,0,3,10,10,2,5,1,1,2,2,12,1,1,4,0,2,4,3,2,1,0,0,2,0
"WAT",2,0,9,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Wyższa Szkoła Biznesu - National Louis Univer...",0,8,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wyższa Szkoła Informatyki i Zarządzania w Rze...",3,4,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0
"Wyższa Szkoła Logistyki w Poznaniu",0,2,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"Wyższa Szkoła Turystyki i Ekologii w Suchej B...",2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
