"podmiot","jednostka","artykuly","mdpi_n","udzial_mdpi","l_czasopism","dyscyplina","N","ocena_I","art_na_N"
"Akademia Sztuk Pięknych w Katowicach","Akademia Sztuk Pięknych w Katowicach",2,0,0,2,"sztuki plastyczne i konserwacja dzieł sztuki",121.06,272.45,0.02
"Akademia Sztuki w Szczecinie","Akademia Sztuki w Szczecinie",1,0,0,1,"sztuki plastyczne i konserwacja dzieł sztuki",119.66,323.94,0.01
"Politechnika Białostocka","P. Białostocka",2,0,0,2,"sztuki plastyczne i konserwacja dzieł sztuki",20.88,302.32,0.1
"Uniwersytet Jana Długosza w Częstochowie","U. Jana Długosza w Częstochowie",1,0,0,1,"sztuki plastyczne i konserwacja dzieł sztuki",31.44,299.14,0.03
"Uniwersytet Mikołaja Kopernika w Toruniu","U. Mikołaja Kopernika w Toruniu",11,0,0,7,"sztuki plastyczne i konserwacja dzieł sztuki",99.56,307.78,0.11
"Uniwersytet SWPS","U. SWPS",1,0,0,1,"sztuki plastyczne i konserwacja dzieł sztuki",18,393.75,0.06
"Uniwersytet im. Adama Mickiewicza w Poznaniu","U. w Poznaniu",1,0,0,1,"sztuki plastyczne i konserwacja dzieł sztuki",11.13,313.57,0.09
"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie","Zachodniopomorski Uniwersytet Technologiczny ...",1,0,0,1,"sztuki plastyczne i konserwacja dzieł sztuki",13.31,284.56,0.08
